id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
9048,Velikiye Luki Airport,Velikiye Luki,Russia,VLU,ULOL,56.381099700928,30.608100891113,99,+03:00,MSK
9049,Boston Back Bay Station,Boston,United States,ZTY,N,42.3478,-71.075,20,-5,A
9050,Burlington GO Station,Burlington,Canada,,N,43.3408282,-79.8093881,243,-5,A
9051,Niagra Falls Railway Station,Niagra Falls,Canada,,N,43.1088,-79.0634,521,-5,A
9052,Niagara Falls Station,Niagara Falls,United States,,N,43.1135,-79.0318,0,-5,A
9053,Barrie-Orillia (Lake Simcoe Regional Airport),Barrie,Canada,YLK,CYLS,44.4852981567,-79.5556030273,296,-04:00,EDT
9054,Yeltsovka,Novosibirsk,Russia,,UNNE,55.077,82.997,617,7,N
9055,Veligandu Resort,Veligandu,Maldives,,N,4.1753,73.0037,0,5,U
9056,Kuramathi,Kuramathi,Maldives,,N,4.1525,73,0,5,U
9057,Olkiombo Airstrip,Masai Mara,Kenya,,HKOK,-1.409569,35.110788,4997,3,U
9058,Shanghai South Railway Station,Shanghai,China,,N,31.154425,121.42416,13,8,N
9059,Suzhou North Railway Station,Suzhou,China,,N,31.423646,120.639045,6,8,N
9060,Ulithi Airport,Ulithi Atoll,Micronesia,ULI,,10.0198,139.789993,1,+10:00,+10
9061,Mar-Kuel,Mar-Kuel,Russia,,UHHK,57.2712,132.314,200,11,N
9062,Kodinsk,Kodinsk,Russia,,UNKI,58.285,99.055,200,8,N
9063,Nanjing Railway Station,Nanjing,China,,N,32.088583,118.792189,29,8,N
9064,Balkanabat Airport,Balkanabat,Turkmenistan,BKN,,39.480598,54.366001,1,+05:00,+05
9065,Lake Macquarie Airport,Newcastle,Australia,BEO,YLMQ,-33.0667,151.647995,0,+10:00,AEST
9066,Clayton County Tara Field,Hampton,United States,4A7,K4A7,33.389099,-84.332397,874,-5,A
9067,Stapleton International Airport,Denver,United States,,DENX,39.779255,-104.88184,5333,-7,A
9068,Brampton Island Airport,Brampton Island,Australia,BMP,YBPI,-20.803300857544,149.27000427246,3,+10:00,AEST
